obs_no,study,pub_reference,pub_year,loc_citystate,lat,long,exp_type,reps,aridity_index,om_pct,soil_type,pH,cc_spec,cc_type,cropsys_tillage,msmt_season,msmt_planting,weed_group,cc_p_mnth,cc_p_mnth2,cc_p_dom,cc_p_den_kgha,cc_p_meth,cc_term_mnth,cc_term_mnth2,cc_term_dom,cc_term_meth,cc_term_meth2,crop_follow,crop_p_mnth,crop_p_mnth2,crop_p_dom,cc_bm_kgha,cc_bm_se,cc_wden,cc_wden_se,ctl_wden,ctl_wden_se,cc_wbio,cc_wbio_se,ctl_wbio,ctl_wbio_se,cc_yield_kgha,cc_yield_se,ctl_yield_kgha,ctl_yield_se,cc_pest,cc_pDOM,ccpl_lubdate,ccpl_doy,cc_termest,ccterm_lubdate,ccterm_doy,crop_pest,croppl_lubdate,croppl_doy,cc_growdays,termgap_days,yieldLRR,wgt,cc_type2,cc_bm_Mgha,resp,LRR
108,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,5,mowing,M,corn,May,5,5,3290,NA,12,NA,2,NA,147,NA,12,NA,2340,NA,3300,NA,NA,28,2018-08-28,240,NA,2019-06-05,156,NA,2019-05-05,125,281,-31,-0.3437715391028245,2,non-grass,3.29,bio,2.505525936990736
109,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,5,mowing,M,corn,May,5,5,3130,NA,10,NA,2,NA,71,NA,12,NA,1670,NA,3300,NA,NA,28,2018-08-28,240,NA,2019-06-05,156,NA,2019-05-05,125,281,-31,-0.6810988420437707,2,non-grass,3.13,bio,1.777773227253315
110,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,splitplot,4,0.8849,NA,silt loam,NA,hairy vetch,legume,Y,summer,after,summer annual,Aug,8,28,45,drilled,Jun,6,6,herbicide,H,corn,May,5,6,3720,NA,4,NA,2,NA,35,NA,12,NA,2830,NA,3300,NA,NA,28,2018-08-28,240,NA,2019-06-06,157,NA,2019-05-06,126,282,-31,-0.15364575681728831,2,non-grass,3.72,bio,1.0704414117014134
115,11,"Werle et al., 2017",2017,"North Platte, NE",41.132511,-100.763969,RCBD,3,0.4388,NA,silt loam,NA,rye,grass,Y,spring,before,winter annual,Oct,10,17,67,drilled,Apr,4,18,herbicide,H,corn,NA,NA,NA,3766,201,17,5,196,25,10,4,115,11,NA,NA,NA,NA,NA,17,2018-10-17,290,NA,2019-04-18,108,NA,NA,NA,183,NA,NA,1.5,grass,3.766,bio,-2.4423470353692043
116,11,"Werle et al., 2017",2017,"North Platte, NE",41.132511,-100.763969,RCBD,3,0.4388,NA,sandy loam,NA,rye,grass,Y,spring,before,winter annual,Sep,9,20,94.1,drilled,Apr,4,18,herbicide,H,corn,NA,NA,NA,4081,322,NA,NA,NA,NA,19,5,407,39,NA,NA,NA,NA,NA,20,2018-09-20,263,NA,2019-04-18,108,NA,NA,NA,210,NA,NA,1.5,grass,4.081,bio,-3.0643742062761548
117,12,"Crawford et al., 2018",2018,"Urbana, IL",40.076623,-88.239866,RCBDsplitplot,3,0.9116,3.4,silt loam,5.9,radish,brassica,N,summer,after,summer annual,NA,NA,NA,NA,drilled,NA,NA,NA,winter kill,W,soybean,NA,NA,NA,438,NA,113.4,NA,96,NA,1164,NA,1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,non-grass,0.438,bio,-0.2889699026362097
118,12,"Crawford et al., 2018",2018,"Urbana, IL",40.076623,-88.239866,RCBDsplitplot,3,0.9116,3.4,silt loam,5.9,canola,brassica,N,summer,after,summer annual,NA,NA,NA,NA,drilled,NA,NA,NA,herbicide,H,soybean,NA,NA,NA,1205,NA,146.2,NA,96,NA,983,NA,1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,non-grass,1.205,bio,-0.4579784107804262
119,12,"Crawford et al., 2018",2018,"Urbana, IL",40.076623,-88.239866,RCBDsplitplot,3,0.9116,3.4,silt loam,5.9,rye,grass,N,summer,after,summer annual,NA,NA,NA,NA,drilled,NA,NA,NA,herbicide,H,soybean,NA,NA,NA,2375,NA,77.7,NA,96,NA,226,NA,1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,grass,2.375,bio,-1.9280525316553068
120,12,"Crawford et al., 2018",2018,"Urbana, IL",40.076623,-88.239866,RCBDsplitplot,3,0.9116,3.4,silt loam,5.9,canola,brassica,N,summer,after,summer annual,NA,NA,NA,NA,drilled,NA,NA,NA,herbicide,H,soybean,NA,NA,NA,2360,NA,170.8,NA,96,NA,548,NA,1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,non-grass,2.36,bio,-1.0423122439795771
121,12,"Crawford et al., 2018",2018,"Urbana, IL",40.076623,-88.239866,RCBDsplitplot,3,0.9116,3.4,silt loam,5.9,rye,grass,N,summer,after,summer annual,NA,NA,NA,NA,drilled,NA,NA,NA,herbicide,H,soybean,NA,NA,NA,9003,NA,7.3,NA,96,NA,104,NA,1554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,grass,9.003,bio,-2.7041966317862203
131,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.5,silt loam,7,winter wheat,grass,N,summer,after,summer annual,Oct,10,NA,100,drilled,May,5,1,herbicide,H,corn,May,5,30,NA,NA,NA,NA,NA,NA,330.1,NA,380,NA,NA,NA,NA,NA,Y,15,NA,NA,Y,2019-05-01,121,Y,2019-05-30,150,NA,29,NA,2.5,grass,NA,bio,-0.14077561386128407
132,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.5,silt loam,7,winter wheat,grass,N,summer,after,summer annual,Oct,10,NA,100,drilled,May,5,1,herbicide,H,corn,May,5,30,NA,NA,NA,NA,NA,NA,194.6,NA,328.1,NA,NA,NA,NA,NA,Y,15,NA,NA,Y,2019-05-01,121,Y,2019-05-30,150,NA,29,NA,2.5,grass,NA,bio,-0.5223722702151513
133,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.5,silt loam,7,winter wheat,grass,N,summer,after,summer annual,Oct,10,NA,100,drilled,May,5,1,herbicide,H,corn,May,5,30,NA,NA,NA,NA,NA,NA,188.5,NA,206.7,NA,NA,NA,NA,NA,Y,15,NA,NA,Y,2019-05-01,121,Y,2019-05-30,150,NA,29,NA,2.5,grass,NA,bio,-0.0921704597996571
134,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.7,silt loam,8.3,winter wheat,grass,N,summer,after,summer annual,Oct,10,NA,100,drilled,May,5,1,herbicide,H,corn,May,5,30,NA,NA,NA,NA,NA,NA,206,NA,290,NA,NA,NA,NA,NA,Y,15,NA,NA,Y,2019-05-01,121,Y,2019-05-30,150,NA,29,NA,2.5,grass,NA,bio,-0.3420047541909387
135,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.7,silt loam,8.3,winter wheat,grass,N,summer,after,summer annual,Oct,10,NA,100,drilled,May,5,1,herbicide,H,corn,May,5,30,NA,NA,NA,NA,NA,NA,142.4,NA,150.8,NA,NA,NA,NA,NA,Y,15,NA,NA,Y,2019-05-01,121,Y,2019-05-30,150,NA,29,NA,2.5,grass,NA,bio,-0.05731445659598031
136,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.7,silt loam,8.3,winter wheat,grass,N,summer,after,summer annual,Oct,10,NA,100,drilled,May,5,1,herbicide,H,corn,May,5,30,NA,NA,NA,NA,NA,NA,571.5,NA,599.2,NA,NA,NA,NA,NA,Y,15,NA,NA,Y,2019-05-01,121,Y,2019-05-30,150,NA,29,NA,2.5,grass,NA,bio,-0.04733094896814443
137,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.6,silt loam,8.3,winter wheat,grass,N,summer,after,summer annual,Oct,10,NA,100,drilled,May,5,1,herbicide,H,corn,May,5,30,NA,NA,NA,NA,NA,NA,57.7,NA,24.2,NA,NA,NA,NA,NA,Y,15,NA,NA,Y,2019-05-01,121,Y,2019-05-30,150,NA,29,NA,2.5,grass,NA,bio,0.8689045403514133
138,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.6,silt loam,8.3,winter wheat,grass,N,summer,after,summer annual,Oct,10,NA,100,drilled,May,5,1,herbicide,H,corn,May,5,30,NA,NA,NA,NA,NA,NA,603.2,NA,869.1,NA,NA,NA,NA,NA,Y,15,NA,NA,Y,2019-05-01,121,Y,2019-05-30,150,NA,29,NA,2.5,grass,NA,bio,-0.365209376749668
139,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.6,silt loam,8.3,winter wheat,grass,N,summer,after,summer annual,Oct,10,NA,100,drilled,May,5,1,herbicide,H,corn,May,5,30,NA,NA,NA,NA,NA,NA,603.1,NA,691.4,NA,NA,NA,NA,NA,Y,15,NA,NA,Y,2019-05-01,121,Y,2019-05-30,150,NA,29,NA,2.5,grass,NA,bio,-0.13663550703058294
140,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,splitplot,3,0.7149,2.6,silty clay loam,6.3,barley,grass,N,summer,after,summer annual,Sep,9,7,78.4,drilled,Jun,6,6,herbicide,H,soybean,Jun,6,7,3170,NA,NA,NA,NA,NA,27.6,NA,68,NA,1630,NA,2060,NA,NA,7,2018-09-07,250,NA,2019-06-06,157,NA,2019-06-07,158,272,1,-0.23412596798281876,1.5,grass,3.17,bio,-0.9016919324530024
141,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,splitplot,3,0.7149,2.6,silty clay loam,6.3,rye,grass,N,summer,after,summer annual,Sep,9,7,78.4,drilled,Jun,6,6,herbicide,H,soybean,Jun,6,7,6310,NA,NA,NA,NA,NA,30.9,NA,68,NA,1540,NA,2060,NA,NA,7,2018-09-07,250,NA,2019-06-06,157,NA,2019-06-07,158,272,1,-0.2909235663759519,1.5,grass,6.31,bio,-0.7887515212724069
142,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,splitplot,3,0.7149,2.6,silty clay loam,6.3,triticale,grass,N,summer,after,summer annual,Sep,9,7,156.4,drilled,Jun,6,6,herbicide,H,soybean,Jun,6,7,7160,NA,NA,NA,NA,NA,32.1,NA,68,NA,1800,NA,2060,NA,NA,7,2018-09-07,250,NA,2019-06-06,157,NA,2019-06-07,158,272,1,-0.13491931789937076,1.5,grass,7.16,bio,-0.7506516750401364
143,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,splitplot,3,0.7149,2.6,silty clay loam,6.3,wheat,grass,N,summer,after,summer annual,Sep,9,7,78.4,drilled,Jun,6,6,herbicide,H,soybean,Jun,6,7,6710,NA,NA,NA,NA,NA,14.6,NA,68,NA,1920,NA,2060,NA,NA,7,2018-09-07,250,NA,2019-06-06,157,NA,2019-06-07,158,272,1,-0.0703807967617995,1.5,grass,6.71,bio,-1.538486176461816
144,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,splitplot,3,0.7149,2.8,silty clay loam,5.8,barley,grass,N,summer,after,summer annual,Sep,9,7,78.4,drilled,May,5,23,herbicide,H,soybean,May,5,21,130,NA,78,NA,71,NA,13.4,NA,21.4,NA,1480,NA,1200,NA,NA,7,2018-09-07,250,NA,2019-05-23,143,NA,2019-05-21,141,258,-2,0.2097205309820691,1.5,grass,0.13,bio,-0.46813621507094
145,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,splitplot,3,0.7149,2.8,silty clay loam,5.8,rye,grass,N,summer,after,summer annual,Sep,9,7,78.4,drilled,May,5,23,herbicide,H,soybean,May,5,21,2890,NA,74,NA,71,NA,0.7,NA,21.4,NA,2190,NA,1200,NA,NA,7,2018-09-07,250,NA,2019-05-23,143,NA,2019-05-21,141,258,-2,0.6015799870344548,1.5,grass,2.89,bio,-3.420065865966538
146,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,splitplot,3,0.7149,2.8,silty clay loam,5.8,triticale,grass,N,summer,after,summer annual,Sep,9,7,78.4,drilled,May,5,23,herbicide,H,soybean,May,5,21,750,NA,73,NA,71,NA,9.6,NA,21.4,NA,1440,NA,1200,NA,NA,7,2018-09-07,250,NA,2019-05-23,143,NA,2019-05-21,141,258,-2,0.1823215567939546,1.5,grass,0.75,bio,-0.8016278235540153
147,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,splitplot,3,0.7149,2.8,silty clay loam,5.8,wheat,grass,N,summer,after,summer annual,Sep,9,7,78.4,drilled,May,5,23,herbicide,H,soybean,May,5,21,2170,NA,90,NA,71,NA,3.5,NA,21.4,NA,1960,NA,1200,NA,NA,7,2018-09-07,250,NA,2019-05-23,143,NA,2019-05-21,141,258,-2,0.4906229164484712,1.5,grass,2.17,bio,-1.8106279535324377
148,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,splitplot,3,0.7149,2.8,silty clay loam,5.8,vetch,legume,N,summer,after,summer annual,Sep,9,7,35.8,drilled,May,5,23,herbicide,H,soybean,May,5,21,650,NA,99,NA,71,NA,8.7,NA,21.4,NA,1700,NA,1200,NA,NA,7,2018-09-07,250,NA,2019-05-23,143,NA,2019-05-21,141,258,-2,0.3483066942682158,1.5,non-grass,0.65,bio,-0.9000678963672678
18,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NA,silt loam,NA,cereal rye,grass,N,summer,after,summer annual,Oct,10,18,125,drilled,May,5,1,herbicide 2x,H,soybean,May,5,14,375,NA,2.5,NA,8.8,NA,45.3,NA,60.1,NA,2890,NA,2570,NA,NA,18,2018-10-18,291,NA,2019-05-01,121,NA,2019-05-14,134,195,13,0.11735060321721236,2,grass,0.375,den,-1.2584609896100059
19,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NA,silt loam,NA,cereal rye,grass,N,summer,after,summer annual,Oct,10,18,125,drilled,May,5,8,herbicide 2x,H,soybean,May,5,14,851,NA,2.3,NA,8.8,NA,26.8,NA,60.1,NA,2900,NA,2570,NA,NA,18,2018-10-18,291,NA,2019-05-08,128,NA,2019-05-14,134,202,6,0.1208048380852999,2,grass,0.851,den,-1.341842598549057
20,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NA,silt loam,NA,cereal rye,grass,N,summer,after,summer annual,Oct,10,18,125,drilled,May,5,20,herbicide 2x,H,soybean,May,5,14,2185,NA,1.6,NA,8.8,NA,29.2,NA,60.1,NA,3310,NA,2570,NA,NA,18,2018-10-18,291,NA,2019-05-20,140,NA,2019-05-14,134,214,-6,0.2530422904818432,2,grass,2.185,den,-1.7047480922384253
21,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NA,silt loam,NA,cereal rye,grass,N,summer,after,summer annual,Oct,10,18,125,drilled,May,5,1,herbicide 1x,H,soybean,May,5,14,375,NA,56.6,NA,6.4,NA,344.8,NA,64.4,NA,300,NA,2840,NA,NA,18,2018-10-18,291,NA,2019-05-01,121,NA,2019-05-14,134,195,13,-2.247776856499051,2,grass,0.375,den,2.179710994843511
22,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NA,silt loam,NA,cereal rye,grass,N,summer,after,summer annual,Oct,10,18,125,drilled,May,5,8,herbicide 1x,H,soybean,May,5,14,851,NA,37.4,NA,6.4,NA,221.3,NA,64.4,NA,780,NA,2840,NA,NA,18,2018-10-18,291,NA,2019-05-08,128,NA,2019-05-14,134,202,6,-1.2922654114716141,2,grass,0.851,den,1.7653727140548598
23,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NA,silt loam,NA,cereal rye,grass,N,summer,after,summer annual,Oct,10,18,125,drilled,May,5,20,herbicide 1x,H,soybean,May,5,14,2185,NA,14.4,NA,6.4,NA,146.3,NA,64.4,NA,1060,NA,2840,NA,NA,18,2018-10-18,291,NA,2019-05-20,140,NA,2019-05-14,134,214,-6,-0.9855351440491389,2,grass,2.185,den,0.8109302162163288
24,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NA,silt loam,NA,cereal rye,grass,N,summer,after,summer annual,Oct,10,18,125,drilled,May,5,1,herbicide  1x + mowing,D,soybean,May,5,14,375,NA,12.1,NA,6.4,NA,47.8,NA,64.4,NA,2130,NA,2840,NA,NA,18,2018-10-18,291,NA,2019-05-01,121,NA,2019-05-14,134,195,13,-0.2876820724517809,2,grass,0.375,den,0.6369074622370691
25,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NA,silt loam,NA,cereal rye,grass,N,summer,after,summer annual,Oct,10,18,125,drilled,May,5,8,herbicide  1x + mowing,D,soybean,May,5,14,851,NA,4.1,NA,6.4,NA,73.1,NA,64.4,NA,2690,NA,2840,NA,NA,18,2018-10-18,291,NA,2019-05-08,128,NA,2019-05-14,134,202,6,-0.054262858559366973,2,grass,0.851,den,-0.4453110166553642
26,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NA,silt loam,NA,cereal rye,grass,N,summer,after,summer annual,Oct,10,18,125,drilled,May,5,20,herbicide  1x + mowing,D,soybean,May,5,14,2185,NA,3.6,NA,6.4,NA,20.9,NA,64.4,NA,2920,NA,2840,NA,NA,18,2018-10-18,291,NA,2019-05-20,140,NA,2019-05-14,134,214,-6,0.02777956410707567,2,grass,2.185,den,-0.5753641449035618
27,3,"De Bruin et al., 2005",2005,"Waseca, MN",44.0770411,-93.50838429,RCBD,4,0.8636,NA,silt loam,NA,cereal rye,grass,N,summer,after,summer annual,Oct,10,18,125,drilled,May,5,28,herbicide 2x,H,soybean,May,5,30,3768,NA,2.1,NA,0.8,NA,7.5,NA,1.2,NA,3140,NA,1780,NA,NA,18,2018-10-18,291,NA,2019-05-28,148,NA,2019-05-30,150,222,2,0.5676094356161683,2,grass,3.768,den,0.965080896043587
28,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,santiago medic,legume,N,spring,before,winter annual,Aug,8,NA,13.4,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,3100,NA,53,NA,91,NA,65.7,NA,234,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,3.1,den,-0.5405675929647281
29,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,mogul medic,legume,N,spring,before,winter annual,Aug,8,NA,15.7,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,5300,NA,29,NA,91,NA,52.5,NA,234,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,5.3,den,-1.143563676530376
30,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,red clover,legume,N,spring,before,winter annual,Aug,8,NA,16.8,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,4100,NA,20.3,NA,91,NA,51.4,NA,234,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,4.1,den,-1.5002386204691083
31,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,berseem clover,legume,N,spring,before,winter annual,Aug,8,NA,16.8,drilled,NA,NA,NA,herbicide,H,corn,May,5,15,1900,NA,29,NA,91,NA,46.2,NA,234,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.9,den,-1.143563676530376
32,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,santiago medic,legume,N,spring,before,winter annual,Aug,8,NA,13.4,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2200,NA,19.5,NA,30.5,NA,19.9,NA,43,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.2,den,-0.4473122180436648
33,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,mogul medic,legume,N,spring,before,winter annual,Aug,8,NA,15.7,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,1800,NA,39.5,NA,30.5,NA,35.1,NA,43,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.8,den,0.2585739882937103
34,4,"Fisk et al., 2001",2001,"East Landsing, MI",42.4056,-85.4008,RCBD,4,0.9202,NA,loam,6.7,red clover,legume,N,spring,before,winter annual,Aug,8,NA,16.8,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,1300,NA,17.3,NA,30.5,NA,12.5,NA,43,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,1.3,den,-0.5670201821096326
36,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,santiago medic,legume,N,spring,before,winter annual,Aug,8,NA,13.4,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2000,NA,21,NA,26.8,NA,70.8,NA,124,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2,den,-0.24387944979338808
37,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,mogul medic,legume,N,spring,before,winter annual,Aug,8,NA,15.7,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2300,NA,19.5,NA,26.8,NA,51.7,NA,124,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.3,den,-0.31798742194710994
38,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",42.441427,-85.375561,RCBD,4,0.9297,NA,loam,6.7,red clover,legume,N,spring,before,winter annual,Aug,8,NA,16.8,drilled,NA,NA,NA,winter kill,W,corn,May,5,15,2200,NA,20.5,NA,26.8,NA,42.4,NA,124,NA,NA,NA,NA,NA,Y,15,NA,NA,NA,NA,NA,NA,2019-05-15,135,NA,NA,NA,2,non-grass,2.2,den,-0.26797700137244856
